Osborne, Willson               ;Con
Ostransky, Leroy               ;Con
Paderewski, Ignace             ;R
Paganini, Niccolo              ;R
Palmgren, Selim                ;I/Con
Pepin, Normand                 ;Con
Pergolesi, Giovanni            ;B
Pieczonka, Albert              ;R
Ponce, Manuel                  ;I/Con
Popper, David                  ;R
Poulenc, Francis               ;Con
Prokofiev, Sergei              ;Con
Pryor, Arthur                  ;R/Con
Pujol, Emilio                  ;R
Ouantz, Johann                 ;B
Rabaud, Henri                  ;Con
Rachmaninoff, Sergei           ;R
Ravel, Maurice                 ;I
Reger, Max                     ;R
Reinecke, Carl                 ;R
Repartz, Joseph Guy            ;R
Reuff, Jeanine                 ;Con
Ries, Franz                    ;R
Rimsky-Korsakov, Nicolai       ;R
Rodrigo, Joaquin               ;Con
Rossini, Gioacchino            ;R
Roussel, Albert                ;I/Con
Sachse, Leopold                ;R
Saint-Saens, Camille           ;R
Sammartini, Giovanni           ;B/C
Sancan, Pierre                 ;Con
Sarasate, Pablo de             ;R
Satie, Erik                    ;Con
Savari, J. N.                  ;R
Scarlatti, Domenico            ;B
Schlozer, Pyotr                ;R
Schubert, Franz                ;C/R
Schumann, Robert               ;R
Scott, Cyril                   ;I/Con
Scriabin, Alexander            ;R/Con
Seetz                          ;R
Severn, Edmund                 ;R
Shostakovich, Dmitri           ;Con
Sibelius, Jean                 ;R
Simons, Gardell                ;Con
Smith, Grace Wiley             ;Con
Soler, Padre Antonio           ;B
Spohr, Louis                   ;R
Squire, William H.             ;R
Stamitz, Carl                  ;C
Stamitz, Johann                ;C
Strauss, Richard               ;R
Stravinsky, Igor               ;Con
Sutermeister, Heinrich         ;Con
Szymanowski, Karol             ;I/Con
Taffanel, Paul                 ;R
Tansman, Alexandre             ;Con
Tarrega, Francisco             ;R
Tauriello, Antonio             ;Con
Tchaikovsky, Piotr             ;R
Tcherepnin, Alexander          ;Con
Tcherepnin, Ivan               ;Con
Tedesco, Mario                 ;Con
Telemann, Georg                ;B
Ten Have, William              ;R
Thome, Reuff                   ;R
Tomasi, Henri                  ;Con
Tower, Joan                    ;Con
Turina, Joaquin                ;Con
Valle/Heifetz                  ;Con
Van Goens, Daniel              ;R
Vanhal, Johann                 ;C
Varese, Edgar                  ;Con
Vaughan Williams, Ralph        ;R/Con
Veracini, Francesco            ;B
Villa-Lobos, Heiter            ;Con
Viotti, Giovanni               ;C
Vitali, Tommaso                ;B
Vivaldi, Antonio               ;B
Walker, John                   ;Con
Weber, Carl Marie von          ;C/R
Webern, Anton                  ;Con
Weckerlin, Jean-Baptiste       ;R
Widor, Charles                 ;R
Wieniawski, Henri              ;R
York, A.                       ;Con
Ysaye, Eugene                  ;R/Con
Zambarano, Alfred              ;R
Zeckwar, Camille               ;R
